Nombre,Que quiere / Producto,Etapa (Frio/Tibio/Caliente/Cliente/En pausa),Ultimo contacto,Siguiente paso,Recordar el,Notas
Maria (ejemplo),Pack 3 cremas,Caliente,26-jun,Enviar datos de pago,Hoy,Vecina referida por Ana
Jose (ejemplo),Asesoria web,Tibio,25-jun,Mandar ejemplos de trabajos,Manana,Pidio ver portafolio
Carla (ejemplo),Pregunto precio zapatillas,Frio,24-jun,Enviar oferta de la semana,30-jun,Llego por anuncio
Luis (ejemplo),Compro zapatillas,Cliente,20-jun,Pedir resena,02-jul,Cliente contento
Ana (ejemplo),Dijo "lo pienso",En pausa,18-jun,Seguimiento suave con novedad,03-jul,Le gustaba el bolso cafe
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
